effect,term,estimate,std.error,statistic,domain
fixed,AgeGroups52,0.0251219065296591,0.00605533719311696,4.14872132277206,Severe Prolonged Weather Events
fixed,AgeGroups53,0.0421970288527643,0.00579983946628106,7.27555117656068,Severe Prolonged Weather Events
fixed,AgeGroups54,0.106315650026055,0.00630107416376243,16.8726231850242,Severe Prolonged Weather Events
fixed,AgeGroups55,0.143514435725709,0.00710201752671897,20.2075586529862,Severe Prolonged Weather Events
fixed,Education2,0.0371655477882384,0.00501279838631634,7.41413177312116,Severe Prolonged Weather Events
fixed,Education3,0.0224676074532092,0.00679236167354703,3.30777548856235,Severe Prolonged Weather Events
fixed,Urbanicity2,-0.0109975524874788,0.00571931233525699,-1.92288020706333,Severe Prolonged Weather Events
fixed,Urbanicity3,-0.0303607914483815,0.00599518866193567,-5.06419283201989,Severe Prolonged Weather Events
fixed,Urbanicity6,-0.0103752674359443,0.0074750932542391,-1.38797832790387,Severe Prolonged Weather Events
fixed,CountryIncomeLevel20252,-0.0579186331804683,0.0626247495810173,-0.924852132231512,Severe Prolonged Weather Events
fixed,CountryIncomeLevel20253,-0.075993848172078,0.062943874594408,-1.20732714123114,Severe Prolonged Weather Events
fixed,CountryIncomeLevel20254,-0.310541932479846,0.0606107005971013,-5.12354962771538,Severe Prolonged Weather Events
fixed,(Intercept),1.9131417672549,0.0686572953620782,27.8650907695323,Wildfires
fixed,harm,0.514970035510152,0.018315985238403,28.1158795886349,Wildfires
fixed,Gender2,0.120157406015176,0.0041073155385847,29.2544862663704,Wildfires
fixed,AgeGroups52,-0.000448596389237829,0.00642101985170219,-0.0698637287531369,Wildfires
fixed,AgeGroups53,0.0107688912430263,0.00614684205804716,1.75193882343669,Wildfires
fixed,AgeGroups54,0.0701137671535435,0.00667474389291124,10.5043381856203,Wildfires
fixed,AgeGroups55,0.110379097255043,0.00752478737254288,14.6687330538806,Wildfires
fixed,Education2,0.00253201346314934,0.00531665676152721,0.476241664023091,Wildfires
fixed,Education3,-0.0507125296555044,0.00719087940545207,-7.05234044351441,Wildfires
fixed,Urbanicity2,0.017674039372007,0.00605958663784602,2.91670710038557,Wildfires
fixed,Urbanicity3,-0.0222882237154086,0.00634577224375237,-3.51229493579007,Wildfires
fixed,Urbanicity6,-0.0024093647971548,0.00791749238383265,-0.304309076706493,Wildfires
fixed,CountryIncomeLevel20252,-0.0614869074753856,0.0787604521995114,-0.780682509537027,Wildfires
fixed,CountryIncomeLevel20253,-0.00481416746736543,0.0791065967470971,-0.0608567131608034,Wildfires
fixed,CountryIncomeLevel20254,-0.309099629115608,0.0762009587513665,-4.05637454148258,Wildfires
